chunk_id	status	filename	rows_approx	upload_url	notes
0160	UPLOADED	expr_part_0160of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0160of0270.tsv.gz	upload_confirmed
0161	UPLOADED	expr_part_0161of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0161of0270.tsv.gz	upload_confirmed
0162	UPLOADED	expr_part_0162of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0162of0270.tsv.gz	upload_confirmed
0163	UPLOADED	expr_part_0163of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0163of0270.tsv.gz	upload_confirmed
0164	UPLOADED	expr_part_0164of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0164of0270.tsv.gz	upload_confirmed
0165	UPLOADED	expr_part_0165of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0165of0270.tsv.gz	upload_confirmed
0166	UPLOADED	expr_part_0166of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0166of0270.tsv.gz	upload_confirmed
0167	UPLOADED	expr_part_0167of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0167of0270.tsv.gz	upload_confirmed
0168	UPLOADED	expr_part_0168of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0168of0270.tsv.gz	upload_confirmed
0169	UPLOADED	expr_part_0169of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0169of0270.tsv.gz	upload_confirmed
0170	UPLOADED	expr_part_0170of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0170of0270.tsv.gz	upload_confirmed
0171	UPLOADED	expr_part_0171of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0171of0270.tsv.gz	upload_confirmed
0172	UPLOADED	expr_part_0172of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0172of0270.tsv.gz	upload_confirmed
0173	UPLOADED	expr_part_0173of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0173of0270.tsv.gz	upload_confirmed
0174	UPLOADED	expr_part_0174of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0174of0270.tsv.gz	upload_confirmed
0175	UPLOADED	expr_part_0175of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0175of0270.tsv.gz	upload_confirmed
0176	UPLOADED	expr_part_0176of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0176of0270.tsv.gz	upload_confirmed
0177	UPLOADED	expr_part_0177of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0177of0270.tsv.gz	upload_confirmed
0178	UPLOADED	expr_part_0178of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0178of0270.tsv.gz	upload_confirmed
0179	UPLOADED	expr_part_0179of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0179of0270.tsv.gz	upload_confirmed
0180	UPLOADED	expr_part_0180of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0180of0270.tsv.gz	upload_confirmed
0181	UPLOADED	expr_part_0181of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0181of0270.tsv.gz	upload_confirmed
0182	UPLOADED	expr_part_0182of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0182of0270.tsv.gz	upload_confirmed
0183	UPLOADED	expr_part_0183of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0183of0270.tsv.gz	upload_confirmed
0184	UPLOADED	expr_part_0184of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0184of0270.tsv.gz	upload_confirmed
0185	UPLOADED	expr_part_0185of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0185of0270.tsv.gz	upload_confirmed
0186	UPLOADED	expr_part_0186of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0186of0270.tsv.gz	upload_confirmed
0187	UPLOADED	expr_part_0187of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0187of0270.tsv.gz	upload_confirmed
